Amharic,English
ሁልጊዜ,ever
ለ መንቀሳቀስ,to move
ሊሆን ይችላል,to may
ጓደኛ,friend
ሁሉም,every
ክንድ,arm
ሶስት,three
አንድ ጊዜ,once
ይበቃል,enough
ለመሆን,to become
ሴት ልጅ,girl
በታች,under
አዲስ,new
መጨረሻ,end
መኖር,to live
እንዲሁም,also
ለማገዝ,to help
መካከል,between
ዓለም,world
መውደቅ,to fall
መጀመር,to start
እያንዳንዳቸው,each
ለመቆየት,to wait
ለመመልከት,to watch
ለመቆም,to stop
ማንኛውንም ነገር,anything
ሁለቱም,both
እግር,foot
ክፍል,part
ትንሽ,small
እስከ,until
በእርግጥ,really
መመለስ,to answer
ማሳየት,to show
ወንድ,boy
ራሷን,herself
መዋሸት,to lie
እርግጠኛ ነኝ,sure
ኮርስ,course
መከሰት,to happen
ማመን,to believe
መመለስ,to return
ኋላ,behind
ነጥብ,point
ቀጥሎ,next
ገና,yet
ልብ,heart
ውሃ,water
ቅርብ ነው,almost
ለማዘጋጀት,to set
አካል,body
ለምን,why
ለማለፍ,to pass
ጠዋት,morning
ሰአት,hour
ድምጽ,sound
ለማሟላት,to meet
እግዚአብሔር,God
ነጭ,white
ለማስታወስ,to remember
ደግ,kind
ተስፋ ማድረግ,to hope
ለመድረስ,to reach
ለመሞት,to die
ከባድ,hard
መጥፎ,bad
ግማሽ,half
ለመሳቅ,to laugh
ቤተሰብ,family
ከ,since
ከፍተኛ,high
መጽሐፍ,book
ቁስ አካል,matter
እርምጃ,step
ለ መቀየር,to change
ጥያቄ,question
በመላው,across
ለመረዳት,to understand
መከተል,to follow
አንድ ላየ,together
ሚስት,wife
ለመሳብ,to pull
ጋር,along
ሰንጠረዥ,table
ለመጫወት,to play
ማጣት,to lose
ትልቅ,big
ማልቀስ,to cry
ጥቁር,black
ፀጉር,hair
ማንበብ,to read
ፊት,front
መላክ,to send
በጣም,quite
ለመሰረዝ,to break
እኔ ራሴ,myself
ፈቃድ,to shall
ቀድሞውኑ,already
ደቂቃ,minute
ጨለማ,dark
በቅርቡ,soon
አልጋ,bed
ወደ,toward
ሙሉ,whole
መኪና,car
መስኮት,window
መንቀጥቀጥ,to shake
ሌላ,else
እረፍት,rest
ገንዘብ,money
እውነታ,fact
ወንድ ልጅ,son
መፃፍ,to write
እሳት,fire
ሁለተኛ,second
ለ መቅረት,to stay
አስቂኝ ነው,to wonder
ጉዳይ,case
ታሪክ,story
መስመር,line
ለማደግ,to grow
አየር,air
መፈለግ,to wish
ሐሳብ,thought
እንዲነሣ,to rise
ቢያንስ,least
ሙሉ,full
ለመያዝ,to catch
ለመምራት,to lead
ትልቅ,large
እንዲታይ,to appear
ሁሉም ነገር,everything
ለመንከባከብ,to care
ተሸከም,to carry
ሞት,death
መተኛት,to sleep
መግደል,to kill
ሐሳብ,idea
መልስ ለመስጠት,to reply
ለመልበስ,to wear
ግድግዳ,wall
መንዳት,to drive
ቅርብ,near
ለመሳብ,to draw
ትከሻ,shoulder
ሳምንት,week
ያለፈ,past
ሞቷል,dead
ቀደም ብሎ,early
ለማየት,to stare
ብቻ,alone
ስሜት,sense
አፍ,mouth
ይልቁንስ,rather
መሸከም,to bear
አራት,four
ለመቀጠል,to continue
ዛፍ,tree
ወንድም,brother
ምክንያት,reason
ፈረስ,horse
ሌሎች,others
ትዕዛዝ,order
ዕጣ,lot
አምስት,five
ለመንካት,to touch
ዙር,round
ጥልቀት,deep
ደብዳቤ,letter
ማስት,Miss
ለመገመት,to suppose
ኃይል,force
ከተማ,town
መብላት,to eat
ግልፅ,clear
ለማግባት,to marry
መወርወር,to throw
አገር,country
አለ,present
ውስጥ,inside
ወለል,floor
መክፈል,to pay
መገረም,to nod
ጣት,finger
መቆየት,to remain
እንባ,tear
ጎዳና,street
እመቤት,lady
ያነሰ,less
ፍርሃት,fear
አንድ ሰው,someone
ንግድ,business
ችሎታ,able
ወንበር,chair
መርሳት,to forget
ለመምረጥ,to pick
የሚጠብቀው,to expect
ቀይ,red
ኃይል,power
ለጨረፍታ,to glance
ምናልባት,perhaps
አጭር,short
መሬት,ground
እውነት,TRUE
ከንፈር,lip
እውን,real
መልበስ,to dress
ወር,month
ለ መስማት,to listen
ረፍዷል,late
ትምህርት ቤት,school
ወይም,either
ማን,whom
ዝቅተኛ,low
በ,among
ባል,husband
መጨመር,to add
የተለየ,different
መጣል,to drop
መጠጣት,to drink
ለመማር,to learn
በድንገት,suddenly
ወረቀት,paper
መሬት,land
ተራ,sort
ብዙ ጊዜ,often
ምሽት,evening
ከላይ,above
መቶ,hundred
መወሰን,to decide
ለማስታወቅ,to notice
ሴት ልጅ,daughter
ቢሮ,office
ቅዝቃዜ,cold
ምስል,figure
መንገድ,road
ስሜት,feeling
ለማሰረዝ,to hang
መቁረጥ,to cut
ቁጥር,number
ጥሩ,fine
ከተማ,city
የሚገርም ነው,to surprise
ማሳደግ,to raise
ለመሙላት,to fill
ብዙ,several
ከ,whose
ደካማ,poor
አንዳንድ,certain
ዕቅድ,plan
ምናልባት,probably
በፊት,ago
ከላይ,top
መክንያት መሆን,to cause
ለመግባት,to enter
ዝግጁ,ready
ሰማያዊ,blue
ውስጥ,within
እራሳቸው,themselves
ወደፊት,forward
እህት,sister
ወጪዎች,to spend
ግዛት,state
ይሁንና,however
ለመዋጋት,to fight
ጠንካራ,strong
መ ሳ ም,to kiss
በ,during
ቢት,bit
ለማስደሰት,to please
ውጭ,outside
እግር,leg
ውድ,dear
ደስተኛ,happy
ህልም,dream
ማስታወሻ,note
የተሳሳተ,wrong
እንድገነዘብ,to realize
ወለድ,interest
ደም,blood
በፍጥነት,quickly
ለማብራራት,to explain
ነፋስ,wind
ሰው,human
ጌታ,Lord
መጋለብ,to ride
ለመሸፈን,to cover
ማመንም,to lean
ለመፍቀድ,to allow
አስር,ten
ጥርጣሬ,doubt
ሃያ,twenty
ጌታዬ,sir
ቆንጆ,beautiful
ጦርነት,war
ቆንጆ,pretty
ቀስ ብሎ,slowly
ሊሆን ይችላል,possible
ችግር,trouble
ሊጎበኝ ነው,to visit
ዕድል,chance
መግፋት,to push
ፍርይ,free
ትንፋሽ,breath
እቃ,piece
ፀሐይ,sun
እውነት,truth
ለመድረስ,to arrive
ከግምት ውስጥ,to consider
ይኑር,whether
እርምጃ,to act
በራሱ,itself
እና,nor
ለማንኛውም,anyone
ይፈርሙ,sign
ስምምነት,deal
ለማቋረጥ,to cross
መስተዋት,glass
ስራ,job
መጨመር,to finish
ሹክሹክታ,to whisper
ለማጥናት,to study
ቅጽ,form
ቀላል,easy
እድሜ,age
ስዕል,picture
ስድስት,six
በመጨረሻ,finally
ለመግዛት,to buy
ዝምታ,silence
ውሻ,dog
መጣል,to lay
ዕይታ,sight
ጆሮ,ear
ለ መስጠት,to offer
መርከብ,ship
እራስዎ,yourself
ወደ,towards
ባሕር,sea
ደውል,ring
ቃል መግባት,to promise
ለማንሳት,to lift
መብረር,to fly
ሺ,thousand
ለመገመት,to guess
ጥግ,corner
ለመጨነቅ,to worry
እይታ,view
ችግር,problem
ጎን,beside
ስልክ,phone
ትኩረት,attention
መደበቅ,to hide
ናፈቅኩ,to miss
ዓይን,gaze
ፖሊስ,police
መመዝገብ,to save
ድግስ,party
እንግሊዝኛ,English
ድንጋይ,stone
ለንደን,London
እንግዳ,strange
ህጻን,baby
መፍራት,afraid
ሕመም,pain
ማዕበል,wave
ወጥ ቤት,kitchen
ለመስማማት,to agree
ማሰራጨት,to strike
ለመጫን,to press
አረንጓዴ,green
ጥንዶች,couple
ወንዴ,guy
አዝናለሁ,sorry
ተሞክሮ,experience
እስከ,till
አሜሪካዊ,American
ምን አልባት,maybe
መቀመጫ,seat
ለመዘለል,to roll
በእርግጥም,indeed
ለመምታት,to blow
አንዳንድ ጊዜ,sometimes
ከባድ,heavy
ነፍስ,soul
አስፈላጊ,important
ልጅ,kid
ሙቅ,warm
ለጉሳያ,to concern
የእኔ,mine
ቦታ,position
ሞቃት,hot
ሐኪም,doctor
ከዚህ በላይ,beyond
መጮህ,to shout
ርዕሰ ጉዳይ,subject
እራት,dinner
ለማጣራት,to check
